YEAR,MONTH,DOMESTIC PASSENGERS,INTERNATIONAL PASSENGERS,DOMESTIC FREIGHT(IN TONNE),INTERNATIONAL FREIGHT(IN TONNE)
2025,JAN,14702387,3192757,64221,25500
2025,FEB,14118495,2862912,58353,24317
2025,MAR,14541682,2907654,68421,28473
2025,APR,14314688,3007716,65982,22465
2025,MAY,14054824,2974203,71524,29588
2025,JUN,13604312,2754143,78227,34822
2024,JAN,13131603,2729843,60214,19064
2024,FEB,12647306,2544506,62811,22336
2024,MAR,13367468,2675807,65814,24127
2024,APR,13200048,2566770,59144,22023
2024,MAY,13795301,2580637,69485,23035
2024,JUN,13205828,2711650,67393,24542
2024,JUL,12986105,2763666,68439,24974
2024,AUG,13130699,2779337,67297,24436
2024,SEP,13027336,2671124,67253,26496
2024,OCT,13657193,2765194,71177,22335
2024,NOV,14250266,2812305,60450,23651
2024,DEC,14926352,3051909,67166,27067
2023,JAN,12551028,2314453,54414,15163
2023,FEB,12068372,2132905,55075,16232
2023,MAR,12893197,2331138,61299,18370
2023,APR,12888410,2184188,59070,16162
2023,MAY,13214182,2357016,64589,16525
2023,JUN,12486601,2313021,62869,17148
2023,JUL,12100030,2400520,65048,16099
2023,AUG,12422673,2403998,65757,17691
2023,SEP,12246549,2269965,61375,18006
2023,OCT,12636742,2397386,63877,19678
2023,NOV,12735394,2527907,63313,18829
2023,DEC,13797352,2781525,63714,18842
2022,JAN,6410579,,50306,
2022,FEB,7695734,,49145,
2022,MAR,10619642,114371,57299,920
2022,APR,10549088,1458177,55740,16963
2022,MAY,11470422,1730955,62345,15703
2022,JUN,10514030,1836757,61671,14934
2022,JUL,9704934,1964960,61941,16877
2022,AUG,10115739,1925538,57036,16437
2022,SEP,10346833,1874964,58578,16837
2022,OCT,11400977,1972821,57273,16189
2022,NOV,11678582,2054589,55554,15481
2022,DEC,12735454,2278961,57163,15863
2021,JAN,7704022,768535,49193,13557
2021,FEB,7795243,730070,50265,13720
2021,MAR,7787310,814739,55343,16289
2021,APR,5647434,656481,49808,17797
2021,MAY,2037372,222466,35900,15728
2021,JUN,3028643,223646,40418,15115
2021,JUL,4897664,338597,47699,17479
2021,AUG,6544056,559795,52417,17605
2021,SEP,6891878,787960,54372,20692
2021,OCT,8784144,1045969,58361,21672
2021,NOV,10471234,1162717,51604,18396
2021,DEC,11156079,1387628,57922,19021
2020,JAN,12747591,2311641,60964,19338
2020,FEB,12331165,1934992,58662,19272
2020,MAR,7735665,913396,424447,12820
2020,APR,5581179,923555,157563,4571
2020,MAY,1278417,612222,115744,6148
2020,JUN,1979472,233610,31399,6799
2020,JUL,2102854,323458,32729,8199
2020,AUG,2826148,323823,35817,8221
2020,SEP,3939687,381560,45340,10199
2020,OCT,5268696,500776,51617,12105
2020,NOV,6342589,580392,48603,11548
2020,DEC,7306064,705313,52379,12026
2019,JAN,12469075,2495259,59523,28733
2019,FEB,11321549,2128216,55422,30468
2019,MAR,11557816,2101363,63467,30177
2019,APR,10967168,1831295,58226,21480
2019,MAY,12151749,1772703,64865,19259
2019,JUN,11989365,1810294,62133,16674
2019,JUL,11863940,1829814,65224,19219
2019,AUG,11756732,1975423,65145,17632
2019,SEP,11488069,1880102,64134,18077
2019,OCT,12280250,1993657,67926,19136
2019,NOV,12910135,2126615,60574,19129
2019,DEC,12980408,2342913,59153,20062
2018,JAN,11448112,2246251,55200,31000
2018,FEB,10720207,1925141,53910,28922
2018,MAR,11544833,2139859,60466,33327
2018,APR,11475498,2076028,58283,32942
2018,MAY,11818634,2103686,64885,32987
2018,JUN,11288337,2030033,65874,30749
2018,JUL,11658023,2144638,67983,32669
2018,AUG,11319216,2151379,66478,32848
2018,SEP,11363706,1981817,66976,32329
2018,OCT,11805382,2044841,70617,34463
2018,NOV,11606526,2179674,59286,32433
2018,DEC,12649810,2462781,62152,33378
2017,JAN,9548612,1997487,52094,25513
2017,FEB,8616856,1675453,49906,26784
2017,MAR,9007696,1847324,57981,32826
2017,APR,9100687,1844672,52915,30900
2017,MAY,10140073,1934268,57658,32011
2017,JUN,9536983,1799327,58188,30822
2017,JUL,9533226,1967472,58459,29592
2017,AUG,9663380,2019818,59379,30001
2017,SEP,9550493,1855912,63950,29221
2017,OCT,10418436,1926185,60568,30691
2017,NOV,10453411,1931905,56815,32042
2017,DEC,11206075,2213426,59022,32090
2016,JAN,7620879,1694959,51835,19983
2016,FEB,7443543,1494963,50553,20345
2016,MAR,7835402,1639804,51049,21581
2016,APR,7896940,1618535,48489,21301
2016,MAY,8623381,1691268,52117,21881
2016,JUN,7933791,1583651,52220,22482
2016,JUL,8475231,1739082,53157,21573
2016,AUG,8349518,1742394,53168,22451
2016,SEP,8198645,1646297,55743,22722
2016,OCT,8640189,1638643,60831,24835
2016,NOV,8941496,1680963,49180,24568
2016,DEC,9516243,1953141,52834,26007
2015,JAN,6216341,1659132,38204,19555
2015,FEB,5988695,1427370,38063,19286
2015,MAR,6250856,1533685,39104,21971
2015,APR,6538477,1511910,39029,21109
2015,MAY,7097141,1604302,42325,21227
2015,JUN,6568843,1503112,39713,21425
2015,JUL,6747792,1513428,42686,21167
2015,AUG,6735367,1599496,42048,21042
2015,SEP,6637323,1436661,41455,20424
2015,OCT,7008489,1439380,45178,21741
2015,NOV,7289547,1505470,40167,20768
2015,DEC,7674872,1681748,41755,21257
2014,JAN,5062143,1452801,32813,20034
2014,FEB,4874364,1276090,30527,18907
2014,MAR,5208065,1408225,35579,22864
2014,APR,5247143,1399846,33913,21124
2014,MAY,5936825,1425782,38527,22021
2014,JUN,5594898,1399093,38731,21637
2014,JUL,5172742,1359039,41037,21665
2014,AUG,5648739,1466306,40671,20600
2014,SEP,5745441,1329624,42365,21615
2014,OCT,5830052,1394998,40903,21792
2014,NOV,5782353,1366869,41479,21942
2014,DEC,6339272,1579697,39046,21900
2013,JAN,5020441,1135550,29486,19297
2013,FEB,4794012,1007175,27248,18096
2013,MAR,5073353,1126322,29472,22362
2013,APR,4985663,1047326,27731,21373
2013,MAY,5581543,1103207,30793,20577
2013,JUN,4899294,1116517,31162,19670
2013,JUL,4763303,1033542,34015,21208
2013,AUG,5146105,1123651,26902,18563
2013,SEP,4465068,1053572,33819,20080
2013,OCT,4912812,1104481,36359,20257
2013,NOV,5026328,1096283,30851,20788
2013,DEC,5447178,1224721,33875,21447
2012,JAN,5285028,1297265,28469,20352
2012,FEB,5004468,1147925,29009,21095
2012,MAR,4823339,1218546,32287,22735
2012,APR,5004734,1052994,28253,21921
2012,MAY,5351343,977935,33629,19085
2012,JUN,5039497,927978,29993,18808
2012,JUL,4433564,881972,29461,17741
2012,AUG,4284646,879720,28492,17046
2012,SEP,3936184,845440,28880,17107
2012,OCT,4491740,892880,34364,17061
2012,NOV,4928199,960013,29778,18986
2012,DEC,5202468,1181372,30464,18964
2011,JAN,4861989,1122551,29867,21137
2011,FEB,4502123,982603,28465,18500
2011,MAR,4778508,1139395,32156,25648
2011,APR,4620096,1161050,28172,24007
2011,MAY,5433460,1170531,29175,24329
2011,JUN,5242886,1203148,29160,22056
2011,JUL,4964357,1262549,31371,23251
2011,AUG,4703006,1174931,30486,19433
2011,SEP,4531323,1153335,30925,18173
2011,OCT,5320177,1217923,29826,20385
2011,NOV,5345003,1171169,30096,20150
2011,DEC,5564645,1256969,31688,21824
2010,JAN,4034750,1051866,29646,19760
2010,FEB,3821906,912703,28722,20040
2010,MAR,3871701,1009507,32879,26744
2010,APR,4180822,1026648,30163,21287
2010,MAY,4777361,1130732,31600,23298
2010,JUN,4457736,1097543,31588,19653
2010,JUL,4062795,1178343,32926,22630
2010,AUG,3962046,1119605,33329,23388
2010,SEP,3881160,1057158,33469,22440
2010,OCT,4583282,1081092,35980,23629
2010,NOV,4835995,1078847,29582,20009
2010,DEC,5165300,1143764,32974,23475
2009,JAN,3288004,885435,20832,11675
2009,FEB,3293220,757168,18645,12482
2009,MAR,3122400,848046,23046,15359
2009,APR,3266686,861715,21623,14512
2009,MAY,3883887,898410,19534,14586
2009,JUN,3643747,903704,22688,14633
2009,JUL,3546079,1009425,24756,15988
2009,AUG,3603855,1024365,28547,17212
2009,SEP,3468264,903920,27355,16271
2009,OCT,3926556,967455,30061,18289
2009,NOV,3855421,971568,29056,19654
2009,DEC,4437730,1096885,30456,20146
