Industry,2004-05 - Q1,2004-05 - Q2,2004-05 - Q3,2004-05 - Q4,2005-06 - Q1,2005-06 - Q2,2005-06 - Q3,2005-06 - Q4,2006-07 - Q1,2006-07 - Q2,2006-07 - Q3,2006-07 - Q4,2007-08 - Q1,2007-08 - Q2,2007-08 - Q3,2007-08 - Q4,2008-09 - Q1,2008-09 - Q2,2008-09 - Q3,2008-09 - Q4,2009-10 - Q1,2009-10 - Q2,2009-10 - Q3,2009-10 - Q4,2010-11 - Q1,2010-11 - Q2,2010-11 - Q3,2010-11 - Q4,2011-12 - Q1,2011-12 - Q2,2011-12 - Q3,2011-12 - Q4,2012-13 - Q1,2012-13 - Q2,2012-13 - Q3,2012-13 - Q4,2013-14 - Q1,2013-14 - Q2,2013-14 - Q3,2013-14 - Q4
"1 Agriculture, Forestry & Fishing",134571.634,111379.4436,174954.3364,144520.5861,143293.217,121823.0017,203586.1215,169069.6599,161426.9091,136551.9376,229072.9902,195932.1631,189727.1677,156876.0833,272160.2914,217754.4576,218082.204,180052.7069,293878.4552,251190.634,234755.9488,200652.5474,339334.6348,308770.8691,284063.304,242176.3725,425335.4351,368110.8884,339020.0865,279525.6649,480461.4411,400090.8075,376011.9035,307495.2378,521336.8017,440082.0571,423712.0176,363304.767,615644.4929,503687.0424
2 Mining & Quarrying,18282.84775,19666.44101,21915.12931,25163.58193,21757.60799,21624.67519,24558.48612,26521.23071,25451.114,24608.46148,27555.29635,29172.12817,28127.40301,27897.32997,31855.51238,36931.75464,33633.01882,33864.61918,36226.17453,36104.18747,35497.64644,35222.11762,41017.98225,47566.25369,47620.5782,46857.831,53019.06925,57368.52155,51147.2748,47835.89702,55985.12268,67747.7055,53418.92832,49829.59192,56594.6714,62572.80835,50724.46954,51334.53343,57362.70877,63230.20398
3 Manufacturing,102943.8966,110378.2965,116049.6994,123853.1075,122508.8863,125662.7557,131502.4047,141994.9533,144299.2517,152745.6531,160662.9435,177120.1516,170548.9637,175366.0687,183634.1482,203170.8193,206650.0921,208827.6323,202739.193,200105.0825,210346.1976,223930.6422,231935.0686,255939.0786,248777.4324,255895.7878,268971.9011,298843.8787,300510.8197,298014.3369,306048.2282,331608.6151,313696.2111,317222.7965,331588.2797,358399.7126,320159.2402,329211.068,336105.8533,364562.5936
"4 Electricity, Gas & Water Supply",15427.75074,15671.32767,15602.89129,15973.0303,17102.33218,17124.33525,17153.83508,17726.49749,18382.27741,18642.43148,19600.30956,19527.98155,20943.58753,20775.58119,20927.56809,21183.26319,22631.53459,22670.24632,22781.91879,22986.3003,27626.69797,28609.54083,28252.70652,29394.05468,29380.00761,29451.52199,29769.73606,30958.73435,32906.28845,33360.98023,34469.8804,34932.85092,37374.30702,39535.57211,40175.00358,40047.11729,47486.99905,50528.83376,51957.85004,53075.18243
5 Construction,53461.94523,55336.75314,58414.60159,61641.70004,62033.43955,63251.45444,69901.42083,73447.68517,74648.6893,76119.04746,83241.56456,88419.69868,91289.3974,93720.92999,99006.74421,104890.9284,110860.3056,113132.1245,110390.2068,116651.363,116383.8487,120046.9867,125696.9757,138330.189,134616.402,134085.3535,143524.9583,159308.6761,160670.0985,164722.3768,175625.1219,188780.1937,180260.5814,177038.0719,193203.3729,209487.9081,190993.2344,197181.9179,208155.1856,222101.1833
"6 Trade, Hotels, Transport & Communication",162924.2795,173251.3983,188441.2652,203103.057,193034.2796,200944.8073,217509.6335,235117.2796,224074.6027,238843.425,258965.4115,276495.5609,264312.7004,270720.3163,293796.9237,321214.0596,323110.1747,329832.0044,330737.8535,327164.9675,337672.3752,355468.1421,377698.2225,410784.2602,416868.9755,425279.5051,447329.5378,490151.9816,492924.3565,499664.1167,520681.8265,559001.7003,544029.268,564289.2504,589596.1253,626780.3563,576810.3964,620128.7181,640536.758,672431.5698
"7 Financing, Insurance, Real Estate and Business Services",103557.0814,106159.0456,111341.0945,116116.7786,116252.6835,120052.0493,124354.5576,132442.7097,137212.4677,143188.5176,149063.4385,157130.5762,164045.6726,168506.1716,173924.5045,184987.6514,201855.2175,210421.2071,213657.208,219435.3675,227210.8931,235354.4395,244167.8218,258203.8455,276201.9777,283515.1892,294757.1814,310768.6517,329595.3968,340146.5735,349151.9051,362630.1246,388605.7777,399509.2063,406550.5879,422410.4281,461233.5846,479931.1311,496457.2021,501860.1746
"8 Community, Social & Personal Services",90382.64703,100838.9285,101004.2815,119135.143,100395.4129,112175.8571,113554.3884,133025.1338,113714.6305,124149.3744,123474.4713,143782.4505,126517.513,140995.755,137108.2111,169168.0886,150206.4124,171481.1483,186428.7393,195778.7974,184250.7072,224305.7455,226746.1682,247730.3791,215999.8942,257862.7065,244010.6576,297976.8556,241156.5727,296507.7397,279642.256,337124.5322,286489.9564,351387.6242,321425.7502,382431.1504,339597.6936,395011.6494,368175.3785,420113.5152
9 GDP at Factor Cost,681552.0822,692681.6343,787723.2991,809506.9844,776377.8589,782658.936,902120.8478,929345.1497,899209.9425,914848.8482,1051636.425,1087580.711,1055512.405,1054858.236,1212413.904,1259301.023,1267028.96,1270281.689,1396839.749,1369416.7,1373744.315,1423590.162,1614849.58,1696718.93,1653528.572,1675124.268,1906718.476,2013488.188,1947930.894,1959777.686,2202065.782,2281916.53,2179886.933,2206307.351,2460470.593,2542211.538,2410717.635,2486632.619,2774395.429,2801061.465
10 Net Indirect Taxes,53811.31299,67253.35432,69833.09463,79847.23806,60612.02996,72677.88539,74105.15705,95470.9276,53049.34123,89305.96849,87677.0216,111396.6687,70968.47185,95945.51704,109234.4827,128855.5284,66435.14507,95902.02395,68444.52584,95714.30514,58902.32465,74054.73071,85637.87451,150329.0701,90646.68517,111858.2658,138438.4076,194312.6415,120426.1355,125394.7696,153887.3561,218322.7387,128846.2687,134984.6507,197463.4357,263109.6449,136217.7897,171989.6101,228287.0998,345771.8378
11 GDP at Market Prices,735363.3952,759934.9886,857556.3938,889354.2225,836989.8889,855336.8213,976226.0048,1024816.077,952259.2837,1004154.817,1139313.447,1198977.379,1126480.877,1150803.753,1321648.386,1388156.551,1333464.105,1366183.713,1465284.275,1465131.005,1432646.64,1497644.892,1700487.455,1847048,1744175.257,1786982.533,2045156.884,2207800.83,2068357.03,2085172.455,2355953.138,2500239.269,2308733.202,2341292.002,2657934.028,2805321.183,2546935.425,2658622.229,3002682.529,3146833.303
12 GFCE,71864.70687,80620.39048,83091.80815,118941.0945,76224.80423,97233.67854,105436.589,122723.9283,113740.6716,89145.52789,107575.4532,133015.3474,119561.9017,105838.9061,117180.3448,170439.8474,125848.0298,116872.0439,193318.3764,179294.5499,158917.7319,164217.6429,229502.9188,218511.7064,191827.923,192545.8747,255419.956,250342.2463,222112.4399,224715.2467,293602.7247,285464.5887,266715.2985,268589.0737,334235.3288,319592.2989,328541.402,294143.0225,379718.5485,338937.923
13 PFCE,442534.6022,447764.4565,528132.9243,499076.2765,500091.7092,501606.5277,591691.466,559311.9561,566925.1554,590531.9391,675741.0969,643467.5752,651873.4982,674228.4651,775527.0503,739098.3295,751955.0298,774705.4816,888701.3902,833922.4301,837129.0433,876438.737,1018050.23,975948.7674,1003997.227,1041571.203,1155423.443,1159331.795,1178422.406,1226471.182,1399467.095,1337536.196,1330746,1372439,1564215,1504658.532,1491772.996,1526177.581,1744999.611,1722086.251
14 GFCF,206942.02,222721.934,235390.6224,265972.9884,247653.9769,265351.0536,285948.4615,321338.661,293092.8605,312335.6489,346756.9497,391588.1661,370401.9499,393346.5724,417273.5268,460651.3288,451253.1924,470906.8072,457966.504,440971.3074,457112.1749,502207.615,514610.377,581841.7984,542235.3713,583052.4911,620403.8006,661377.5886,698840.2779,693807.0262,701127.0774,767287.6317,711628.4113,734936.4665,775412.245,849565.5051,731957.1742,793691.5897,817255.8067,868209.851
15 CIS,18204.98276,19519.70979,20522.66183,21902.64562,24514.74044,25145.84805,26314.39576,28414.01575,33436.71708,35393.89933,37228.47709,41041.9065,46909.34443,48234.28499,50508.41307,55881.95751,26967.83172,27252.00066,26457.45949,26113.70813,40869.59574,43509.01001,45064.24456,49728.14718,63443.88312,65259.22506,68593.93027,76211.96154,41471.19421,41126.67376,42235.3695,45762.76253,40653.71158,41110.74224,42972.44854,46447.09764,44298.60385,45551.05352,46505.04555,50442.44203
16 Valuables,9197.208647,10049.44222,10390.38585,11417.27787,8669,10626,10831,11266,11878.09962,12535.09816,12836,12460,11554.09913,13198.43374,15325.36333,13515,20538,19805,18185,13685,27907.15058,31546,29462,27397,41798.5248,42967.90979,41135.853,36934.02188,63507.86564,64857.83429,56312.9778,61994.71397,66358.6613,67050.95268,69094.0565,63977.85437,41859.54494,43238.97872,38084.91252,47364.73974
17 Exports of Goods and Services,120171.9476,125538.1705,144881.095,178459.7869,153604.6368,158004.0011,184263.9711,216214.391,205307.3249,224999.9312,218976.7637,255587.9802,226288.1717,238062.845,261917.5524,292638.431,333417.3831,357170.0102,325685.439,312492.1677,296350.2167,309127.7223,329307.9892,363994.0718,370322.9369,385807.6834,448898.6504,505163.7292,489465.4598,498845.3989,554262.824,607752.3172,592963.9153,587420.4729,595942.6009,650480.0109,610752.8327,725464.2841,720494.6045,761061.6127
18 Less Imports of Goods and Services,121808.4426,153572.9434,174788.8883,175774.7257,188794.2845,192456.6931,211328.6433,220886.3791,245228.0843,266399.798,262598.3662,266308.7516,268135.6493,284314.6078,309982.7233,356675.9296,389603.9016,457709.9433,415339.4308,351386.7243,357599.7829,384499.7666,443909.7305,461129.72,488039.5707,491840.5985,520405.8075,549896.0233,628533.0184,636461.4383,721084.7763,735867.7669,740894.339,763721.5993,800088.3919,803725.6698,789793.3654,817182.1113,793687.6848,825426.2628
19 Discrepancies,-11743.63032,7293.828546,9935.784564,-30641.1216,15025.30576,-10173.59462,-16931.23528,-13566.49563,-26893.46096,5612.570047,2797.072607,-11874.8445,-31972.43858,-37791.1464,-6101.141033,12607.58664,13088.53956,57182.31273,-29690.46338,10037.56576,-28039.49054,-44902.06829,-21600.57418,90756.22889,18588.96151,-32381.25543,-24312.94144,68335.51061,3070.404222,-28190.4681,30029.84621,130308.8257,40561,33467,76151,174326,87546.2368,47537.8304,49311.68468,184156.7468
20 Expenditure on GDP,735363.3952,759934.9886,857556.3938,889354.2225,836989.8889,855336.8213,976226.0048,1024816.077,952259.2837,1004154.817,1139313.447,1198977.379,1126480.877,1150803.753,1321648.386,1388156.551,1333464.105,1366183.713,1465284.275,1465130.005,1432646.64,1497644.892,1700487.455,1847048,1744175.257,1786982.533,2045156.884,2207800.83,2068357.03,2085171.455,2355953.138,2500239.269,2308733.202,2341292.002,2657934.028,2805321.183,2546935.425,2658622.229,3002682.529,3146833.303